eventTime,sourceIPAddress,userIdentity_arn,eventName,key_arn,errorCode,time_of_day,api_call_frequency
2025-09-01 09:12:00+00:00,128.137.104.213,arn:aws:iam::12345:role/specific-role,Decrypt,key-01174,,9,5
2025-09-01 09:18:00+00:00,194.74.167.248,arn:aws:iam::12345:role/specific-role,Decrypt,key-00142,,9,6
2025-09-01 09:19:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-01410,AccessDeniedException,9,1
2025-09-01 09:19:00+00:00,128.137.104.213,arn:aws:iam::12345:role/specific-role,Decrypt,key-00598,,9,7
2025-09-01 09:20:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-04589,AccessDeniedException,9,2
2025-09-01 09:20:00+00:00,128.137.104.213,arn:aws:iam::12345:role/specific-role,Decrypt,key-07495,,9,8
2025-09-01 09:37:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-04126,AccessDeniedException,9,3
2025-09-01 09:39:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-09134,AccessDeniedException,9,4
2025-09-01 09:42:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-00297,AccessDeniedException,9,5
2025-09-01 09:51:00+00:00,194.74.167.248,arn:aws:iam::12345:role/specific-role,Decrypt,key-02204,,9,7
2025-09-01 09:51:00+00:00,128.137.104.213,arn:aws:iam::12345:role/specific-role,Decrypt,key-07979,,9,8
2025-09-01 09:53:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-06802,AccessDeniedException,9,6
2025-09-01 09:57:00+00:00,128.137.104.213,arn:aws:iam::12345:role/specific-role,Decrypt,key-09211,,9,9
2025-09-01 10:06:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-07938,AccessDeniedException,10,7
2025-09-01 10:07:00+00:00,145.26.42.23,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-03558,AccessDeniedException,10,2
2025-09-01 10:09:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-05040,,10,8
2025-09-01 10:22:00+00:00,153.214.43.17,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-07414,AccessDeniedException,10,2
2025-09-01 10:29:00+00:00,128.137.104.213,arn:aws:iam::12345:role/specific-role,Decrypt,key-05066,,10,4
2025-09-01 10:45:00+00:00,194.74.167.248,arn:aws:iam::12345:role/specific-role,Decrypt,key-09518,,10,5
2025-09-01 10:50:00+00:00,194.74.167.248,arn:aws:iam::12345:role/specific-role,Decrypt,key-06768,,10,6
2025-09-01 11:06:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-09120,AccessDeniedException,11,2
2025-09-01 11:10:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-03932,AccessDeniedException,11,2
2025-09-01 11:23:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-07927,AccessDeniedException,11,3
2025-09-01 11:30:00+00:00,202.98.8.94,arn:aws:iam::12345:role/specific-role,Decrypt,key-03076,,11,3
2025-09-01 11:32:00+00:00,194.74.167.248,arn:aws:iam::12345:role/specific-role,Decrypt,key-04481,,11,4
2025-09-01 11:38:00+00:00,196.34.122.146,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-01928,AccessDeniedException,11,1
2025-09-01 11:42:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-05058,AccessDeniedException,11,4
2025-09-01 11:44:00+00:00,128.137.104.213,arn:aws:iam::12345:role/specific-role,Decrypt,key-01765,,11,5
2025-09-01 11:50:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-04455,AccessDeniedException,11,5
2025-09-01 11:50:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-04977,AccessDeniedException,11,6
2025-09-01 11:52:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-01928,AccessDeniedException,11,7
2025-09-01 11:54:00+00:00,202.98.8.94,arn:aws:iam::12345:role/specific-role,Decrypt,key-08895,,11,4
2025-09-01 12:03:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-00431,AccessDeniedException,12,8
2025-09-01 12:10:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-01941,AccessDeniedException,12,7
2025-09-01 12:11:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-07287,AccessDeniedException,12,8
2025-09-01 12:13:00+00:00,166.89.76.221,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-02756,AccessDeniedException,12,2
2025-09-01 12:13:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-09929,,12,9
2025-09-01 12:14:00+00:00,128.137.104.213,arn:aws:iam::12345:role/specific-role,Decrypt,key-06481,,12,5
2025-09-01 12:19:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-01980,AccessDeniedException,12,10
2025-09-01 12:23:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-00371,AccessDeniedException,12,10
2025-09-01 12:25:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-06417,AccessDeniedException,12,11
2025-09-01 12:26:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-03199,AccessDeniedException,12,12
2025-09-01 12:27:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-01023,AccessDeniedException,12,13
2025-09-01 12:36:00+00:00,128.137.104.213,arn:aws:iam::12345:role/specific-role,Decrypt,key-06749,,12,4
2025-09-01 12:37:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-05485,AccessDeniedException,12,14
2025-09-01 12:40:00+00:00,128.137.104.213,arn:aws:iam::12345:role/specific-role,Decrypt,key-04750,,12,5
2025-09-01 12:41:00+00:00,128.137.104.213,arn:aws:iam::12345:role/specific-role,Decrypt,key-03018,,12,6
2025-09-01 12:44:00+00:00,202.98.8.94,arn:aws:iam::12345:role/specific-role,Decrypt,key-01715,,12,6
2025-09-01 12:47:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-00499,AccessDeniedException,12,14
2025-09-01 12:57:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-02255,AccessDeniedException,12,12
2025-09-01 12:57:00+00:00,194.74.167.248,arn:aws:iam::12345:role/specific-role,Decrypt,key-05391,,12,6
2025-09-01 13:00:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-01734,AccessDeniedException,13,13
2025-09-01 13:17:00+00:00,128.137.104.213,arn:aws:iam::12345:role/specific-role,Decrypt,key-07049,,13,6
2025-09-01 13:19:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-04545,AccessDeniedException,13,9
2025-09-01 13:20:00+00:00,128.137.104.213,arn:aws:iam::12345:role/specific-role,Decrypt,key-04656,,13,7
2025-09-01 13:25:00+00:00,202.98.8.94,arn:aws:iam::12345:role/specific-role,Decrypt,key-03491,,13,8
2025-09-01 13:34:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-06322,AccessDeniedException,13,6
2025-09-01 13:37:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-08923,AccessDeniedException,13,6
2025-09-01 13:42:00+00:00,202.98.8.94,arn:aws:iam::12345:role/specific-role,Decrypt,key-03637,,13,6
2025-09-01 13:46:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-02656,AccessDeniedException,13,7
2025-09-01 13:55:00+00:00,145.26.42.23,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-04884,AccessDeniedException,13,1
2025-09-01 13:59:00+00:00,194.74.167.248,arn:aws:iam::12345:role/specific-role,Decrypt,key-06052,,13,5
2025-09-01 14:01:00+00:00,194.74.167.248,arn:aws:iam::12345:role/specific-role,Decrypt,key-08016,,14,6
2025-09-01 14:06:00+00:00,153.214.43.17,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-07054,AccessDeniedException,14,2
2025-09-01 14:08:00+00:00,194.74.167.248,arn:aws:iam::12345:role/specific-role,Decrypt,key-01066,,14,7
2025-09-01 14:19:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-03215,AccessDeniedException,14,4
2025-09-01 14:21:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-05577,AccessDeniedException,14,5
2025-09-01 14:25:00+00:00,166.89.76.221,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-06151,AccessDeniedException,14,3
2025-09-01 14:25:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-09425,AccessDeniedException,14,6
2025-09-01 14:27:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-00738,,14,7
2025-09-01 14:36:00+00:00,128.137.104.213,arn:aws:iam::12345:role/specific-role,Decrypt,key-04684,,14,5
2025-09-01 14:45:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-02438,AccessDeniedException,14,6
2025-09-01 14:50:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-01766,AccessDeniedException,14,6
2025-09-01 15:03:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-04309,AccessDeniedException,15,7
2025-09-01 15:07:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-00479,AccessDeniedException,15,8
2025-09-01 15:11:00+00:00,205.24.99.54,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-03673,AccessDeniedException,15,2
2025-09-01 15:11:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-09987,AccessDeniedException,15,9
2025-09-01 15:19:00+00:00,94.170.100.151,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-02233,AccessDeniedException,15,3
2025-09-01 15:23:00+00:00,202.98.8.94,arn:aws:iam::12345:role/specific-role,Decrypt,key-08810,,15,2
2025-09-01 15:25:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-04842,AccessDeniedException,15,7
2025-09-01 15:29:00+00:00,194.74.167.248,arn:aws:iam::12345:role/specific-role,Decrypt,key-01185,,15,3
2025-09-01 15:39:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-00322,AccessDeniedException,15,7
2025-09-01 15:40:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-07345,AccessDeniedException,15,8
2025-09-01 15:40:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-05650,AccessDeniedException,15,9
2025-09-01 15:46:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-01466,AccessDeniedException,15,9
2025-09-01 15:49:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-02557,AccessDeniedException,15,10
2025-09-01 15:52:00+00:00,145.26.42.23,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-09633,AccessDeniedException,15,3
2025-09-01 15:52:00+00:00,202.98.8.94,arn:aws:iam::12345:role/specific-role,Decrypt,key-03779,,15,3
2025-09-01 15:56:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-09995,AccessDeniedException,15,10
2025-09-01 16:00:00+00:00,128.137.104.213,arn:aws:iam::12345:role/specific-role,Decrypt,key-04027,,16,4
2025-09-01 16:01:00+00:00,203.121.95.98,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-03152,AccessDeniedException,16,4
2025-09-01 16:01:00+00:00,202.98.8.94,arn:aws:iam::12345:role/specific-role,Decrypt,key-05327,,16,5
2025-09-01 16:04:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-01549,AccessDeniedException,16,10
2025-09-01 16:04:00+00:00,196.34.122.146,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-04814,AccessDeniedException,16,5
2025-09-01 16:09:00+00:00,128.137.104.213,arn:aws:iam::12345:role/specific-role,Decrypt,key-04155,,16,6
2025-09-01 16:11:00+00:00,202.98.8.94,arn:aws:iam::12345:role/specific-role,Decrypt,key-09000,,16,7
2025-09-01 16:13:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-01575,AccessDeniedException,16,9
2025-09-01 16:14:00+00:00,194.74.167.248,arn:aws:iam::12345:role/specific-role,Decrypt,key-06898,,16,8
2025-09-01 16:21:00+00:00,128.137.104.213,arn:aws:iam::12345:role/specific-role,Decrypt,key-03130,,16,9
2025-09-01 16:23:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-06030,AccessDeniedException,16,10
2025-09-01 16:24:00+00:00,145.26.42.23,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-00912,AccessDeniedException,16,4
2025-09-01 16:25:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-08545,AccessDeniedException,16,10
2025-09-01 16:27:00+00:00,194.74.167.248,arn:aws:iam::12345:role/specific-role,Decrypt,key-01355,,16,9
2025-09-01 16:33:00+00:00,202.98.8.94,arn:aws:iam::12345:role/specific-role,Decrypt,key-09572,,16,9
2025-09-01 16:35:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-02038,AccessDeniedException,16,11
2025-09-01 16:41:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-00437,AccessDeniedException,16,9
2025-09-01 16:48:00+00:00,209.88.32.87,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-03771,AccessDeniedException,16,5
2025-09-01 16:50:00+00:00,202.98.8.94,arn:aws:iam::12345:role/specific-role,Decrypt,key-02626,,16,10
2025-09-01 16:50:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-03247,AccessDeniedException,16,8
2025-09-01 16:52:00+00:00,202.98.8.94,arn:aws:iam::12345:role/specific-role,Decrypt,key-08834,,16,10
2025-09-01 16:57:00+00:00,194.74.167.248,arn:aws:iam::12345:role/specific-role,Decrypt,key-08947,,16,11
2025-09-01 16:59:00+00:00,55.222.161.199,arn:aws:iam::12345:assumed-role/ExternalPartnerRole,Decrypt,key-04430,AccessDeniedException,16,8
2025-09-01 17:04:00+00:00,202.98.8.94,arn:aws:iam::12345:role/specific-role,Decrypt,key-06087,,17,10
2025-09-01 17:05:00+00:00,194.74.167.248,arn:aws:iam::12345:role/specific-role,Decrypt,key-03276,,17,11
2025-09-01 17:21:00+00:00,202.98.8.94,arn:aws:iam::12345:role/specific-role,Decrypt,key-05239,,17,8
2025-09-01 17:24:00+00:00,202.98.8.94,arn:aws:iam::12345:role/specific-role,Decrypt,key-00284,,17,9
2025-09-01 17:27:00+00:00,203.121.95.98,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-00454,AccessDeniedException,17,2
2025-09-01 17:29:00+00:00,194.74.167.248,arn:aws:iam::12345:role/specific-role,Decrypt,key-05166,,17,9
2025-09-01 17:34:00+00:00,202.98.8.94,arn:aws:iam::12345:role/specific-role,Decrypt,key-01252,,17,9
2025-09-01 17:48:00+00:00,128.137.104.213,arn:aws:iam::12345:role/specific-role,Decrypt,key-04278,,17,10
2025-09-01 17:57:00+00:00,194.74.167.248,arn:aws:iam::12345:role/specific-role,Decrypt,key-00672,,17,8
2025-09-01 18:02:00+00:00,202.98.8.94,arn:aws:iam::12345:role/specific-role,Decrypt,key-09498,,18,9
2025-09-01 18:09:00+00:00,194.74.167.248,arn:aws:iam::12345:role/specific-role,Decrypt,key-09499,,18,8
2025-09-01 18:12:00+00:00,194.74.167.248,arn:aws:iam::12345:role/specific-role,Decrypt,key-05934,,18,9
2025-09-01 18:12:00+00:00,194.74.167.248,arn:aws:iam::12345:role/specific-role,Decrypt,key-02347,,18,10
2025-09-01 18:16:00+00:00,205.24.99.54,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-00665,AccessDeniedException,18,2
2025-09-01 18:24:00+00:00,202.98.8.94,arn:aws:iam::12345:role/specific-role,Decrypt,key-07310,,18,9
2025-09-01 18:24:00+00:00,94.170.100.151,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-01543,,18,3
2025-09-01 18:53:00+00:00,194.74.167.248,arn:aws:iam::12345:role/specific-role,Decrypt,key-08264,,18,7
2025-09-01 18:54:00+00:00,128.137.104.213,arn:aws:iam::12345:role/specific-role,Decrypt,key-02301,,18,8
2025-09-01 19:21:00+00:00,128.137.104.213,arn:aws:iam::12345:role/specific-role,Decrypt,key-05857,,19,4
2025-09-01 19:24:00+00:00,202.98.8.94,arn:aws:iam::12345:role/specific-role,Decrypt,key-00869,,19,4
2025-09-01 19:26:00+00:00,153.214.43.17,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-07098,AccessDeniedException,19,1
2025-09-01 19:34:00+00:00,196.34.122.146,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-07100,AccessDeniedException,19,2
2025-09-01 20:14:00+00:00,146.238.143.18,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-03980,AccessDeniedException,20,3
2025-09-01 20:29:00+00:00,196.34.122.146,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-08498,AccessDeniedException,20,3
2025-09-01 20:41:00+00:00,209.88.32.87,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-05826,AccessDeniedException,20,3
2025-09-01 20:42:00+00:00,89.2.178.25,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-08417,AccessDeniedException,20,4
2025-09-01 20:42:00+00:00,209.88.32.87,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-01849,AccessDeniedException,20,5
2025-09-01 21:00:00+00:00,209.88.32.87,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-05376,AccessDeniedException,21,6
2025-09-01 21:15:00+00:00,205.24.99.54,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-02719,AccessDeniedException,21,6
2025-09-01 21:35:00+00:00,89.2.178.25,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-06981,AccessDeniedException,21,6
2025-09-01 21:36:00+00:00,94.170.100.151,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-05724,AccessDeniedException,21,7
2025-09-01 21:50:00+00:00,145.26.42.23,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-02671,AccessDeniedException,21,5
2025-09-01 22:06:00+00:00,89.2.178.25,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-06088,AccessDeniedException,22,5
2025-09-01 22:12:00+00:00,205.24.99.54,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-02261,AccessDeniedException,22,6
2025-09-01 22:26:00+00:00,205.24.99.54,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-08536,AccessDeniedException,22,6
2025-09-01 22:30:00+00:00,146.238.143.18,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-09011,AccessDeniedException,22,7
2025-09-01 22:54:00+00:00,196.34.122.146,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-07418,AccessDeniedException,22,5
2025-09-01 23:45:00+00:00,89.2.178.25,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-07764,AccessDeniedException,23,2
2025-09-01 23:50:00+00:00,205.24.99.54,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-03589,AccessDeniedException,23,3
2025-09-02 00:06:00+00:00,196.34.122.146,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-02414,AccessDeniedException,0,3
2025-09-02 01:20:00+00:00,145.26.42.23,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-05669,AccessDeniedException,1,1
2025-09-02 01:22:00+00:00,205.24.99.54,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-01435,AccessDeniedException,1,2
2025-09-02 01:51:00+00:00,203.121.95.98,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-08586,AccessDeniedException,1,3
2025-09-02 02:02:00+00:00,145.26.42.23,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-05183,AccessDeniedException,2,4
2025-09-02 02:07:00+00:00,166.89.76.221,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-00301,AccessDeniedException,2,5
2025-09-02 02:31:00+00:00,203.121.95.98,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-02327,AccessDeniedException,2,4
2025-09-02 03:15:00+00:00,89.2.178.25,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-09055,AccessDeniedException,3,2
2025-09-02 03:27:00+00:00,146.238.143.18,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-08290,AccessDeniedException,3,3
2025-09-02 03:34:00+00:00,94.170.100.151,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-00743,AccessDeniedException,3,3
2025-09-02 03:48:00+00:00,153.214.43.17,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-07316,AccessDeniedException,3,4
2025-09-02 04:02:00+00:00,145.26.42.23,arn:aws:iam::12345:user/unauthorized-user,Decrypt,key-04781,AccessDeniedException,4,5
