key_id,creation_date,algorithm,is_hsm_backed,rotation_enabled,permission_policy,vulnerability_score
key-00031,00:07.2,RSA_4096,FALSE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",49
key-00032,44:06.2,RSA_4096,TRUE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",18
key-00033,33:59.2,AES_256,FALSE,FALSE,"{""Principal"": {""AWS"": ""*""}, ""Action"": ""kms:*""}",87
key-00034,13:55.2,AES_256,TRUE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",25
key-00035,27:55.2,AES_256,TRUE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",0
key-00036,47:36.2,RSA_4096,TRUE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",9
key-00037,28:07.2,AES_256,FALSE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",14
key-00038,09:57.2,AES_256,TRUE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",13
key-00039,58:21.2,RSA_4096,TRUE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",20
key-00040,03:21.2,RSA_4096,FALSE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",42
key-00041,12:45.2,RSA_4096,FALSE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",29
key-00042,18:10.2,RSA_4096,FALSE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",36
key-00043,59:49.2,AES_256,TRUE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",9
key-00044,28:57.2,AES_256,FALSE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",28
key-00045,32:21.2,RSA_4096,TRUE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",9
key-00046,37:16.2,AES_256,FALSE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",50
key-00047,17:01.2,AES_256,FALSE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",28
key-00048,35:18.2,AES_256,FALSE,TRUE,"{""Principal"": {""AWS"": ""*""}, ""Action"": ""kms:*""}",52
key-00049,13:13.2,AES_256,FALSE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",34
key-00050,56:01.2,RSA_2048,FALSE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",60
key-00051,31:26.2,AES_256,TRUE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",17
key-00052,35:06.2,RSA_2048,FALSE,FALSE,"{""Principal"": {""AWS"": ""*""}, ""Action"": ""kms:*""}",98
key-00053,29:06.2,RSA_4096,TRUE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",37
key-00054,36:55.2,AES_256,FALSE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",33
key-00055,14:25.2,RSA_4096,FALSE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",37
key-00056,13:19.2,AES_256,FALSE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",16
key-00057,45:57.2,AES_256,TRUE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",1
key-00058,29:27.2,AES_256,TRUE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",18
key-00059,52:39.2,AES_256,FALSE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",48
key-00060,32:46.2,RSA_2048,TRUE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",51
key-00061,57:22.2,AES_256,FALSE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",30
key-00062,20:21.2,AES_256,FALSE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",48
key-00063,46:56.2,AES_256,TRUE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",10
key-00064,32:59.2,AES_256,FALSE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",28
key-00065,48:07.2,RSA_4096,TRUE,FALSE,"{""Principal"": {""AWS"": ""*""}, ""Action"": ""kms:*""}",76
key-00066,07:58.2,AES_256,TRUE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",8
key-00067,25:57.2,RSA_2048,FALSE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",57
key-00068,43:34.2,RSA_2048,TRUE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",56
key-00069,06:36.2,AES_256,FALSE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",13
key-00070,49:55.2,RSA_4096,FALSE,FALSE,"{""Principal"": {""AWS"": ""*""}, ""Action"": ""kms:*""}",81
key-00071,52:52.2,AES_256,FALSE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",37
key-00072,52:38.2,RSA_4096,TRUE,FALSE,"{""Principal"": {""AWS"": ""*""}, ""Action"": ""kms:*""}",73
key-00073,48:25.2,RSA_2048,FALSE,FALSE,"{""Principal"": {""AWS"": ""*""}, ""Action"": ""kms:*""}",100
key-00074,20:40.2,AES_256,FALSE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",50
key-00075,28:37.2,AES_256,FALSE,TRUE,"{""Principal"": {""AWS"": ""*""}, ""Action"": ""kms:*""}",54
key-00076,23:15.2,RSA_2048,TRUE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",52
key-00077,23:57.2,AES_256,TRUE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",34
key-00078,06:56.2,AES_256,FALSE,TRUE,"{""Principal"": {""AWS"": ""*""}, ""Action"": ""kms:*""}",72
key-00079,57:59.2,AES_256,TRUE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",2
key-00080,40:21.2,AES_256,FALSE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",36
key-00081,41:03.2,RSA_2048,FALSE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",65
key-00082,14:55.2,AES_256,FALSE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",32
key-00083,54:26.2,AES_256,TRUE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",15
key-00084,26:18.2,AES_256,TRUE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",24
key-00085,03:05.2,3DES,FALSE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",82
key-00086,05:51.2,AES_256,FALSE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",52
key-00087,28:50.2,RSA_4096,FALSE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",52
key-00088,36:10.2,AES_256,FALSE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",15
key-00089,04:28.2,AES_256,TRUE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",35
key-00090,32:14.2,AES_256,FALSE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",36
key-00091,55:41.2,3DES,FALSE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",82
key-00092,08:29.2,AES_256,TRUE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",35
key-00093,36:11.2,AES_256,FALSE,FALSE,"{""Principal"": {""AWS"": ""*""}, ""Action"": ""kms:*""}",92
key-00094,20:33.2,RSA_2048,FALSE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",81
key-00095,58:07.2,AES_256,TRUE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",27
key-00096,50:54.2,AES_256,TRUE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",35
key-00097,00:03.2,AES_256,FALSE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",42
key-00098,59:06.2,AES_256,FALSE,TRUE,"{""Principal"": {""AWS"": ""*""}, ""Action"": ""kms:*""}",76
key-00099,02:54.2,RSA_4096,FALSE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",53
key-00100,40:25.2,AES_256,FALSE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",47
key-00101,01:27.2,RSA_4096,FALSE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",15
key-00102,03:33.2,AES_256,FALSE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",50
key-00103,29:06.2,AES_256,FALSE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",48
key-00104,15:30.2,RSA_4096,FALSE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",25
key-00105,46:17.2,AES_256,TRUE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",23
key-00106,26:59.2,AES_256,TRUE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",24
key-00107,05:47.2,AES_256,FALSE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",49
key-00108,30:06.2,AES_256,TRUE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",17
key-00109,01:39.2,3DES,FALSE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",63
key-00110,53:38.2,AES_256,TRUE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",34
key-00111,38:17.2,AES_256,TRUE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",38
key-00112,48:12.2,AES_256,FALSE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",37
key-00113,29:16.2,3DES,TRUE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",53
key-00114,57:08.2,AES_256,FALSE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",33
key-00115,51:14.2,RSA_2048,TRUE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",50
key-00116,38:26.2,AES_256,FALSE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",50
key-00117,47:03.2,3DES,TRUE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",46
key-00118,06:56.2,RSA_4096,FALSE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",36
key-00119,23:49.2,RSA_4096,FALSE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",23
key-00120,00:27.2,3DES,TRUE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",67
key-00121,56:50.2,AES_256,TRUE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",8
key-00122,31:08.2,AES_256,FALSE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",28
key-00123,06:07.2,3DES,TRUE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",47
key-00124,58:57.2,RSA_4096,TRUE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",22
key-00125,17:50.2,3DES,TRUE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",52
key-00126,13:32.2,RSA_2048,FALSE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",82
key-00127,30:27.2,RSA_2048,FALSE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",81
key-00128,14:42.2,AES_256,FALSE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",35
key-00129,41:35.2,RSA_4096,TRUE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",23
key-00130,01:33.2,RSA_4096,FALSE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",36
key-00131,56:06.2,AES_256,FALSE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",25
key-00132,44:07.2,RSA_2048,FALSE,FALSE,"{""Principal"": {""AWS"": ""*""}, ""Action"": ""kms:*""}",99
key-00133,45:23.2,RSA_2048,TRUE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",56
key-00134,50:10.2,AES_256,TRUE,TRUE,"{""Principal"": {""AWS"": ""*""}, ""Action"": ""kms:*""}",60
key-00135,48:30.2,AES_256,FALSE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",42
key-00136,36:15.2,3DES,TRUE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",52
key-00137,56:39.2,AES_256,FALSE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",52
key-00138,36:56.2,AES_256,TRUE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",10
key-00139,04:12.2,AES_256,TRUE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",0
key-00140,30:29.2,AES_256,FALSE,TRUE,"{""Principal"": {""AWS"": ""*""}, ""Action"": ""kms:*""}",57
key-00141,25:52.2,AES_256,TRUE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",22
key-00142,17:56.2,RSA_4096,TRUE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",21
key-00143,14:59.2,AES_256,FALSE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",24
key-00144,08:53.2,AES_256,TRUE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",0
key-00145,00:02.2,AES_256,TRUE,FALSE,"{""Principal"": {""AWS"": ""*""}, ""Action"": ""kms:*""}",54
key-00146,24:59.2,RSA_2048,TRUE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",39
key-00147,17:25.2,AES_256,TRUE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",37
key-00148,20:24.2,RSA_2048,TRUE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",63
key-00149,13:33.2,3DES,FALSE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",62
key-00150,29:33.2,RSA_2048,FALSE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",63
key-00151,58:56.2,AES_256,TRUE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",33
key-00152,34:22.2,RSA_2048,FALSE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",70
key-00153,05:33.2,AES_256,FALSE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",38
key-00154,21:42.2,AES_256,FALSE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",30
key-00155,08:06.2,AES_256,FALSE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",35
key-00156,23:19.2,AES_256,FALSE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",47
key-00157,57:59.2,RSA_2048,FALSE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",66
key-00158,24:29.2,RSA_4096,FALSE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",38
key-00159,55:12.2,AES_256,FALSE,TRUE,"{""Principal"": {""AWS"": ""*""}, ""Action"": ""kms:*""}",76
key-00160,56:22.2,RSA_2048,FALSE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",67
key-00161,45:32.2,AES_256,FALSE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",36
key-00162,09:15.2,AES_256,FALSE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",16
key-00163,46:19.2,RSA_4096,FALSE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",51
key-00164,49:39.2,RSA_2048,TRUE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",39
key-00165,11:43.2,AES_256,FALSE,TRUE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",36
key-00166,02:02.2,AES_256,FALSE,FALSE,"{""Principal"": {""AWS"": ""arn:aws:iam::12345:role/specific-role""}, ""Action"": ""kms:Encrypt""}",48
